,Stock_title,Last_price,Turnover
0,Boeing,207.03,8.53M
1,Chevron,114.49,14.73M
2,Caterpillar,204.01,3.92M
3,Intel,49.00,42.03M
4,Microsoft,331.62,33.60M
5,Walt Disney,169.07,7.43M
6,Cisco,55.94,13.08M
7,Goldman Sachs,413.35,2.02M
8,JPMorgan,169.89,7.98M
9,Coca-Cola,56.37,24.38M
10,McDonald’s,245.55,3.77M
11,Merck&Co,88.05,18.64M
12,3M,178.68,2.37M
13,Apple,149.81,120.51M
14,Amazon.com,"3,372.41",6.17M
15,Amgen,207.01,2.57M
16,Walmart,149.42,7.31M
17,Home Depot,371.74,3.70M
18,IBM,125.10,5.54M
19,Verizon,52.99,17.31M
20,J&J,162.88,8.19M
21,Honeywell,218.62,2.59M
22,Salesforce.com,299.69,4.23M
23,Visa A,211.77,14.31M
24,UnitedHealth,460.47,2.49M
25,Nike,167.29,6.11M
26,Procter&Gamble,142.99,5.80M
27,Tesla,"1,114.00",29.22M
28,Facebook,323.54,36.64M
29,Alphabet C,"2,965.4",1.44M
